83 3 5.0 10
1 0.0 5.0 2.0 3.0
2 1.0 6.0 1.5 2.5
3 2.0 7.0 1.2 2.0
4 3.0 8.0 1.0 1.5
5 4.0 9.0 0.8 1.2
6 5.0 10.0 0.6 1.0
7 6.0 11.0 0.4 0.8
8 7.0 12.0 0.2 0.6
9 8.0 13.0 0.1 0.5
10 9.0 14.0 0.05 0.2
11 10.0 15.0 0.01 0.1
12 11.0 16.0 0.0 0.0
13 12.0 17.0 -0.1 -0.1
14 13.0 18.0 -0.2 -0.2
15 14.0 19.0 -0.3 -0.3
16 15.0 20.0 -0.4 -0.4
17 16.0 21.0 -0.5 -0.5
18 17.0 22.0 -0.6 -0.6
19 18.0 23.0 -0.7 -0.7
20 19.0 24.0 -0.8 -0.8
21 20.0 25.0 -0.9 -0.9
22 21.0 26.0 -1.0 -1.0
23 22.0 27.0 -1.1 -1.1
24 23.0 28.0 -1.2 -1.2
25 24.0 29.0 -1.3 -1.3
26 25.0 30.0 -1.4 -1.4
27 26.0 31.0 -1.5 -1.5
28 27.0 32.0 -1.6 -1.6
29 28.0 33.0 -1.7 -1.7
30 29.0 34.0 -1.8 -1.8
31 30.0 35.0 -1.9 -1.9
32 31.0 36.0 -2.0 -2.0
33 32.0 37.0 -2.1 -2.1
34 33.0 38.0 -2.2 -2.2
35 34.0 39.0 -2.3 -2.3
36 35.0 40.0 -2.4 -2.4
37 36.0 41.0 -2.5 -2.5
38 37.0 42.0 -2.6 -2.6
39 38.0 43.0 -2.7 -2.7
40 39.0 44.0 -2.8 -2.8
41 40.0 45.0 -2.9 -2.9
42 41.0 46.0 -3.0 -3.0
43 42.0 47.0 -3.1 -3.1
44 43.0 48.0 -3.2 -3.2
45 44.0 49.0 -3.3 -3.3
46 45.0 50.0 -3.4 -3.4
47 46.0 51.0 -3.5 -3.5
48 47.0 52.0 -3.6 -3.6
49 48.0 53.0 -3.7 -3.7
50 49.0 54.0 -3.8 -3.8
51 50.0 55.0 -3.9 -3.9
52 51.0 56.0 -4.0 -4.0
53 52.0 57.0 -4.1 -4.1
54 53.0 58.0 -4.2 -4.2
55 54.0 59.0 -4.3 -4.3
56 55.0 60.0 -4.4 -4.4
57 56.0 61.0 -4.5 -4.5
58 57.0 62.0 -4.6 -4.6
59 58.0 63.0 -4.7 -4.7
60 59.0 64.0 -4.8 -4.8
61 60.0 65.0 -4.9 -4.9
62 61.0 66.0 -5.0 -5.0
63 62.0 67.0 -5.1 -5.1
64 63.0 68.0 -5.2 -5.2
65 64.0 69.0 -5.3 -5.3
66 65.0 70.0 -5.4 -5.4
67 66.0 71.0 -5.5 -5.5
68 67.0 72.0 -5.6 -5.6
69 68.0 73.0 -5.7 -5.7
70 69.0 74.0 -5.8 -5.8
71 70.0 75.0 -5.9 -5.9
72 71.0 76.0 -6.0 -6.0
73 72.0 77.0 -6.1 -6.1
74 73.0 78.0 -6.2 -6.2
75 74.0 79.0 -6.3 -6.3
76 75.0 80.0 -6.4 -6.4
77 76.0 81.0 -6.5 -6.5
78 77.0 82.0 -6.6 -6.6
79 78.0 83.0 -6.7 -6.7
80 79.0 84.0 -6.8 -6.8
81 80.0 85.0 -6.9 -6.9
82 81.0 86.0 -7.0 -7.0
83 82.0 87.0 -7.1 -7.1

